Country,Under 25,25-64 years,65+
Croatia,0.000999326,0.002168761,0.000892052
Georgia,0.001217773,0.001993168,0.000547043
Eritrea,0.002231381,0.001243859,0.000145084
Uruguay,0.001161475,0.001735138,0.000529652
Mongolia,0.001539202,0.001660648,0.000147932
Bosnia and Herzegovina,0.000848629,0.001828863,0.000593456
Puerto Rico,0.000832958,0.001695139,0.000727933
Moldova,0.000941639,0.001703317,0.000416553
Albania,0.000863908,0.00152736,0.000463442
Jamaica,0.001051758,0.001571327,0.000204616
Armenia,0.000895288,0.00153996,0.000355723
Lithuania,0.000694693,0.001518186,0.000573773
Qatar,0.000631535,0.00201918,0.000037524
Gambia,0.001680713,0.000894892,0.000064317
Botswana,0.00131673,0.001178702,0.000092992
Namibia,0.001387814,0.001040415,0.000101921
Gabon,0.001261685,0.000988241,0.000091259
Lesotho,0.001224046,0.000961416,0.000096002
Slovenia,0.000523238,0.001161672,0.000434498
North Macedonia,0.000598901,0.001193802,0.000310626
Guinea-Bissau,0.001253249,0.000749529,0.000057952
Latvia,0.000468818,0.001000057,0.000405051
Kosovo,0.000664918,0.000832374,0.00016473
Equatorial Guinea,0.000896068,0.000686948,0.000051457
Trinidad and Tobago,0.000489446,0.000866862,0.000169363
Bahrain,0.000455277,0.000956937,0.000051052
Estonia,0.000347205,0.00071082,0.000270679
Timor,0.000760893,0.000490233,0.000069818
Mauritius,0.000405468,0.000733759,0.000159695
Cyprus,0.000332854,0.000731175,0.000180164
Eswatini,0.000648955,0.000495701,0.000047617
Djibouti,0.000557812,0.000498042,0.000049708
Reunion,0.000369994,0.000472233,0.000123905
Fiji,0.000420846,0.000450891,0.000052878
Comoros,0.000468688,0.00031758,0.000035364
Guyana,0.000380182,0.000374785,0.000049604
Bhutan,0.000321815,0.000407969,0.000047716
Solomon Islands,0.000413861,0.000269515,0.000024479
Macao,0.000171325,0.000430685,0.000084606
Luxembourg,0.000173558,0.000371498,0.000094274
Montenegro,0.000192427,0.000333342,0.000102087
Suriname,0.000269949,0.000298496,0.000044544
Cape Verde,0.000264575,0.000291366,0.000031995
Western Sahara,0.000219672,0.0003142,0.000031718
Malta,0.000121788,0.000305582,0.000099381
Maldives,0.000183549,0.000314218,0.000023702
Brunei,0.000167544,0.000251953,0.000025885
Bahamas,0.000147275,0.000225689,0.000034956
Belize,0.000191186,0.000189018,0.000019833
Guadeloupe,0.000130489,0.000187852,0.000077716
Iceland,0.000116403,0.000198657,0.000055278
Martinique,0.000107074,0.000180106,0.000081619
Vanuatu,0.000183394,0.000123865,0.000011887
Mayotte,0.000192895,0.000114157,0.00000897
French Polynesia,0.0001106,0.00016416,0.000029278
French Guiana,0.000150233,0.000130028,0.000017201
New Caledonia,0.000106176,0.00015086,0.000030773
Barbados,0.000085159,0.000151848,0.000044197
Sao Tome and Principe,0.000133417,0.000081304,0.000008397
Samoa,0.00012138,0.000086212,0.000011189
Curacao,0.000061164,0.000101429,0.000027755
Saint Lucia,0.000060831,0.000102515,0.000016317
Guam,0.000071723,0.000079278,0.000019545
Kiribati,0.000069446,0.000054608,0.000004829
Grenada,0.000048059,0.000064288,0.000012277
Micronesia (country),0.00005797,0.000048512,0.000006661
Jersey,0.000028881,0.000063166,0.000017587
Aruba,0.000030718,0.000059261,0.000016564
Seychelles,0.000038809,0.00005927,0.000008407
Tonga,0.00005707,0.00004238,0.000006584
Saint Vincent and the Grenadines,0.000038385,0.000054689,0.000011266
United States Virgin Islands,0.000029317,0.000050751,0.000020032
Antigua and Barbuda,0.000031073,0.000052648,0.000009508
Isle of Man,0.000021243,0.000044465,0.000018578
Andorra,0.000018907,0.000048651,0.000011499
Dominica,0.000026319,0.000039358,0.000006758
Cayman Islands,0.000017973,0.000044844,0.00000534
Bermuda,0.000016295,0.000035275,0.000012643
Guernsey,0.000018491,0.000034141,0.00001046
Greenland,0.000019083,0.000031856,0.000005327
Faeroe Islands,0.000017799,0.000025639,0.000009477
Northern Mariana Islands,0.000017033,0.000027619,0.000004851
Saint Kitts and Nevis,0.000016226,0.0000268,0.000004605
Turks and Caicos Islands,0.000012951,0.000027601,0.000004589
American Samoa,0.000019535,0.000022433,0.000003088
Sint Maarten (Dutch part),0.000015233,0.000024568,0.00000426
Marshall Islands,0.000020505,0.000019769,0.0000018
Liechtenstein,0.000009791,0.000021897,0.00000737
Monaco,0.000007786,0.000015719,0.000013208
San Marino,0.000007849,0.00001915,0.000006773
Gibraltar,0.000009436,0.000016578,0.000006684
Saint Martin (French part),0.00001036,0.000018249,0.000003355
British Virgin Islands,0.000008958,0.000019234,0.000002953
Bonaire Sint Eustatius and Saba,0.000007161,0.000015964,0.000003605
Palau,0.000006272,0.000010053,0.000001725
Cook Islands,0.000006529,0.00000857,0.000001929
Anguilla,0.000004474,0.000009691,0.000001614
Nauru,0.000007026,0.000005215,0.000000292
Wallis and Futuna,0.000004366,0.000005767,0.000001521
Tuvalu,0.000005428,0.000005097,0.000000704
Saint Pierre and Miquelon,0.000001561,0.000003334,0.00000101
Saint Helena,0.000001124,0.000002853,0.000001451
Montserrat,0.000001243,0.000002429,0.000000766
Falkland Islands,0.000001083,0.000002292,0.000000411
Niue,0.00000072,0.000000942,0.000000295
Tokelau,0.000000858,0.000000852,0.000000159
